date,cpu_usage,memory_usage,disk_usage,GPU_utilization,rx_bytes,tx_bytes,uptime
Wed Dec 17 19:47:02 UTC 2025,11.8,10.19,3,11,344,42,"up 7 hours, 38 minutes"
Wed Dec 17 19:47:05 UTC 2025,0,10.99,3,4,1232,126,"up 7 hours, 38 minutes"
Wed Dec 17 19:47:07 UTC 2025,7.3,11.11,3,9,1232,126,"up 7 hours, 38 minutes"
Wed Dec 17 19:47:10 UTC 2025,13.1,11.18,3,12,1274,126,"up 7 hours, 38 minutes"
Wed Dec 17 19:47:12 UTC 2025,0.8,11.28,3,0,1274,126,"up 7 hours, 38 minutes"
Wed Dec 17 19:47:14 UTC 2025,5,11.33,3,0,1274,126,"up 7 hours, 38 minutes"
Wed Dec 17 19:47:16 UTC 2025,0.8,11.34,3,0,1274,126,"up 7 hours, 38 minutes"
Wed Dec 17 19:47:19 UTC 2025,0,11.37,3,3,1274,126,"up 7 hours, 38 minutes"
Wed Dec 17 19:47:21 UTC 2025,5.8,11.39,3,3,1274,126,"up 7 hours, 38 minutes"
Wed Dec 17 19:47:23 UTC 2025,12.5,11.39,3,3,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:25 UTC 2025,0,11.40,3,0,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:27 UTC 2025,0.8,11.53,3,25,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:30 UTC 2025,8.8,11.53,3,32,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:32 UTC 2025,9.8,11.53,3,11,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:34 UTC 2025,13.3,11.52,3,15,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:38 UTC 2025,0,11.51,3,6,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:40 UTC 2025,0,11.53,3,3,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:42 UTC 2025,0,11.53,3,1,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:44 UTC 2025,11.9,11.56,3,0,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:47 UTC 2025,3.3,11.52,3,0,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:49 UTC 2025,0,11.54,3,3,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:51 UTC 2025,0,11.60,3,3,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:53 UTC 2025,0,11.58,3,3,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:55 UTC 2025,13.1,11.58,3,3,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:47:58 UTC 2025,0.8,11.58,3,30,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:48:00 UTC 2025,0,11.57,3,10,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:48:02 UTC 2025,0,11.61,3,1,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:48:04 UTC 2025,0.8,11.56,3,1,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:48:08 UTC 2025,12.3,11.54,3,1,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:48:10 UTC 2025,0.8,11.51,3,1,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:48:12 UTC 2025,0,11.51,3,1,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:48:14 UTC 2025,4.9,11.56,3,1,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:48:17 UTC 2025,7.4,11.61,3,34,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:48:19 UTC 2025,12.6,11.62,3,1,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:48:21 UTC 2025,0,11.65,3,5,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:48:23 UTC 2025,0.8,11.62,3,7,1274,126,"up 7 hours, 39 minutes"
Wed Dec 17 19:48:25 UTC 2025,0,11.67,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:28 UTC 2025,12.3,11.65,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:30 UTC 2025,1.7,11.62,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:32 UTC 2025,2.4,11.62,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:34 UTC 2025,0.8,11.57,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:36 UTC 2025,0,11.52,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:40 UTC 2025,11.8,11.52,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:42 UTC 2025,0,11.49,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:44 UTC 2025,0.8,11.48,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:47 UTC 2025,3.3,11.49,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:49 UTC 2025,0,11.18,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:51 UTC 2025,12.4,11.11,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:53 UTC 2025,0,11.15,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:55 UTC 2025,0,11.13,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:48:58 UTC 2025,0,11.19,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:00 UTC 2025,0,11.19,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:02 UTC 2025,13.1,11.21,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:04 UTC 2025,0,11.23,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:06 UTC 2025,0,11.24,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:10 UTC 2025,0,11.24,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:12 UTC 2025,9.7,11.25,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:15 UTC 2025,13.1,11.25,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:17 UTC 2025,0.8,11.26,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:19 UTC 2025,0,11.24,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:21 UTC 2025,0,11.18,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:23 UTC 2025,12.4,11.19,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:26 UTC 2025,5,11.19,3,1,1274,126,"up 7 hours, 40 minutes"
Wed Dec 17 19:49:28 UTC 2025,0,11.18,3,1,1274,126,"up 7 hours, 41 minutes"
Wed Dec 17 19:49:30 UTC 2025,0.8,11.23,3,1,1274,126,"up 7 hours, 41 minutes"
Wed Dec 17 19:49:32 UTC 2025,0,11.21,3,1,1274,126,"up 7 hours, 41 minutes"
Wed Dec 17 19:49:34 UTC 2025,10.7,11.18,3,1,1274,126,"up 7 hours, 41 minutes"
Wed Dec 17 19:49:37 UTC 2025,12.3,11.14,3,1,1274,126,"up 7 hours, 41 minutes"
Wed Dec 17 19:49:39 UTC 2025,0.8,11.15,3,1,1274,126,"up 7 hours, 41 minutes"
Wed Dec 17 19:49:42 UTC 2025,0.8,11.15,3,1,1274,126,"up 7 hours, 41 minutes"
Wed Dec 17 19:49:45 UTC 2025,0,11.19,3,15,1274,126,"up 7 hours, 41 minutes"
Wed Dec 17 19:49:47 UTC 2025,12.5,11.19,3,24,1274,126,"up 7 hours, 41 minutes"
Wed Dec 17 19:49:49 UTC 2025,8.3,11.19,3,0,1274,126,"up 7 hours, 41 minutes"
Wed Dec 17 19:49:51 UTC 2025,0.8,11.19,3,4,1274,126,"up 7 hours, 41 minutes"
Wed Dec 17 19:49:53 UTC 2025,0.8,9.27,3,16,1274,126,"up 7 hours, 41 minutes"
